ID_EQUIPO,ID_TIPO_EQ,TIPO_EQUIPO,ID_EMPRESA,NOMBRE_EQUIPO,MARCA,MODELO,SERIE,QR,FOTO,UBICACION,PERIODICIDAD
6,1,MARMITA,1001,MARMITA C.C.1.3  (ex C.C.1.2),CLEVELAND,,,#REF!,EQUIPOS_Images/7.FOTO.142222.jpg,CASINO CENTRAL,TRIMESTRAL 
8,1,MARMITA,1001,MARMITA C.C.1.2 (ex C.C.1.3),BIGGI,,,,EQUIPOS_Images/8.FOTO.142336.jpg,CASINO CENTRAL,TRIMESTRAL 
9,1,MARMITA,1001,MARMITA C.C.1.1 (ex C.C.1.4),USINOX,,,,EQUIPOS_Images/9.FOTO.142312.jpg,CASINO CENTRAL,TRIMESTRAL 
10,2,HORNO CONVECTOR,1001,HORNO C.C.2.1,RATIONAL,CM,,,EQUIPOS_Images/10.FOTO.142443.jpg,CASINO CENTRAL,FUERA CONTRATO
11,2,HORNO CONVECTOR,1001,HORNO C.C.2.1 (ex  C.C.2.2),RATIONAL,CM,,,EQUIPOS_Images/11.FOTO.142514.jpg,CASINO CENTRAL,FUERA CONTRATO
12,2,HORNO CONVECTOR,1001,HORNO C.C.2.2 (ex C.C.2.3),RATIONAL (nuevo),SCC WE 201,E21SI18022644915,,EQUIPOS_Images/12.FOTO.142801.jpg,CASINO CENTRAL,FUERA CONTRATO
13,2,HORNO CONVECTOR,1001,HORNO C.C.2.4,RATIONAL,SCC WE 201,E21SI18092696801,,EQUIPOS_Images/13.FOTO.143033.jpg,CASINO CENTRAL,FUERA CONTRATO
15,3,SARTEN BASCULANTE,1001,SARTEN BASCULANTE C.C.4.1 (ex C.C.4.2),CLEVELAND,,,,EQUIPOS_Images/15.FOTO.143316.jpg,CASINO CENTRAL,TRIMESTRAL 
16,4,COCINA A GAS,1001,COCINA C.C.5.1,8 PLATOS,IMAHE,,,EQUIPOS_Images/16.FOTO.144359.jpg,CASINO CENTRAL,TRIMESTRAL 
17,5,MANTENEDOR CALIENTE,1001,MANTENEDOR CALIENTE C.C.6.1,FWE,X BANDEJAS,,,EQUIPOS_Images/17.FOTO.204606.jpg,CASINO CENTRAL,SEMESTRAL
